Surah,Verse,ahmedali,ahmedraza,arberry,daryabadi,hilali,itani,maududi,mubarakpuri,pickthall,qarai,qaribullah,sahih,sarwar,shakir,wahiduddin,yusufali
6,109,"They solemnly swear by God: ""If a sign comes to us we shall certainly believe in it."" Tell them: ""The signs are with God."" Yet for all you know they will not believe if the signs came to them.","And they swore by Allah vehemently in their oaths that if any sign came to them, they will certainly believe in it; say, “The signs are with Allah, and what do you people know that if they came to them, they will not believe.”","They have sworn by God the most earnest oaths if a sign comes to them they will believe in it. Say: 'Signs are only with God.' What will make you realize that, when it comes, they will not believe?",And they swear by God with thee their solemn oaths that if there came unto them a sign they would surely believe therein. Say thou: signs are but with Allah; and what will make ye perceive that even if it came they will not believe?,"And they swear their strongest oaths by Allah, that if there came to them a sign, they would surely believe therein. Say: ""Signs are but with Allah and what will make you (Muslims) perceive that (even) if it (the sign) came, they will not believe?""","They swear by God, with their most solemn oaths, that if a miracle were to come to them, they would believe in it. Say, “The miracles are only with God.” But how do you know? Even if it did come, they still would not believe.","They swear by Allah with their most solemn oaths that if a sign comes to them, they will certainly believe in it. Say: 'Signs are in Allah's power alone. What will make you realize that even if those signs were to come, they would still not believe?","And they swear their strongest oaths by Allah, that if there came to them a sign, they would surely believe therein. Say: ""Signs are but with Allah and what will make you perceive that (even) if it came, they will not believe""",And they swear a solemn oath by Allah that if there come unto them a portent they will believe therein. Say; Portents are with Allah and (so is) that which telleth you that if such came unto them they would not believe.,"They swear by Allah with solemn oaths that were a sign to come to them they would surely believe in it. Say, ‘These signs are only from Allah,’ and what will bring home to you that they will not believe even if they came?",They solemnly swear by Allah that if a sign is given to them they would believe in it. Say: 'Signs are only with Allah' And how can you tell if it comes they will not believe',"And they swear by Allah their strongest oaths that if a sign came to them, they would surely believe in it. Say, ""The signs are only with Allah."" And what will make you perceive that even if a sign came, they would not believe.","The unbelievers solemnly swear by God that if they were to be shown some miracle, they would certainly believe. (Muhammad), tell them, ""Only with God are all the miracles."" Even if a miracle was to take place, they still would not believe.","And they swear by Allah with the strongest of their oaths, that if a sign came to them they would most certainly believe in it. Say: Signs are only with Allah; and what should make you know that when it comes they will not believe?","They swear a solemn oath by God that if there should come to them a sign, they will believe in it. Say, ""Signs are granted only by God."" How can you tell that if a sign be given to them, they will indeed believe in it?","They swear their strongest oaths by Allah, that if a (special) sign came to them, by it they would believe. Say: ""Certainly (all) signs are in the power of Allah: but what will make you (Muslims) realise that (even) if (special) signs came, they will not believe.""?"
6,110,"We shall turn their hearts and their eyes, for they did not believe them at the very first, and leave them to wander perplexed in bewilderment.",And We revert their hearts and their eyes – the way they had not believed the first time – and We leave them to keep wandering blindly in their rebellion.,"We shall turn about their hearts and their eyes, even as they believed not in it the first time; and We shall leave them in their insolence wandering blindly.","And We shall turn aside their hearts and their eyesights, even as they believed not therein for the first time and We shall let them wander in their exorbitance perplexed.","And We shall turn their hearts and their eyes away (from guidance), as they refused to believe therein for the first time, and We shall leave them in their trespass to wander blindly.","And We turn away their hearts and their visions, as they refused to believe in it the first time, and We leave them blundering in their rebellion.",We are turning their hearts and eyes away from the Truth even as they did not believe in the first instance - and We leave them in their insurgence to stumble blindly.,"And We shall turn their hearts and their eyes away, as they refused to believe therein for the first time, and We shall leave them in their trespass to wander blindly.","We confound their hearts and their eyes. As they believed not therein at the first, We let them wander blindly on in their contumacy.","We transform their hearts and their visions as they did not believe in it the first time, and We leave them bewildered in their rebellion.",We will turn away their hearts and eyes since they refused to believe in it at first. We will leave them in their insolence wandering blindly.,"And We will turn away their hearts and their eyes just as they refused to believe in it the first time. And We will leave them in their transgression, wandering blindly.","We will turn their hearts and vision away (from a miracle); they did not have faith (in miracles) at the first time, and We will leave them blind in their rebellion.","And We will turn their hearts and their sights, even as they did not believe in it the first time, and We will leave them in their inordinacy, blindly wandering on.","We will turn away their hearts and eyes from the Truth, since they refused to believe in it in the first instance. We will let them wander blindly in their insolence.","We (too) shall turn to (confusion) their hearts and their eyes, even as they refused to believe in this in the first instance: We shall leave them in their trespasses, to wander in distraction."
6,111,"Even if We send down the angels to them, and the dead should speak to them, and We gather all things before their eyes, they will not believe, unless God should will, for most of them are ignorant.","And had We sent down the angels towards them, and had the dead spoken to them, and had We raised all things in front of them, they would still not have believed unless Allah willed – but most of them are totally ignorant.","Though We had sent down the angels to them, and the dead had spoken with them, had We mustered against them every thing, face to face, yet they would not have been the ones to believe, unless God willed; but most of them are ignorant.","And even thou We had sent down angels unto them, and the dead had spoken to them, and We had gathered together about them everything face to face, they were not such as could believe, unless Allah had so willed, but most of them speak ignorantly.","And even if We had sent down unto them angels, and the dead had spoken unto them, and We had gathered together all things before their very eyes, they would not have believed, unless Allah willed, but most of them behave ignorantly.","Even if We sent down the angels to them, and the dead spoke to them, and We gathered all things before them, they still would not believe, unless God wills; but most of them are ignorant.","Even if We had sent angels down to them and the dead had spoken to them, and even if We had assembled before them all the things, face to face, they would still not believe unless it be Allah's will that they believe. Most of them behave in utter ignorance.","And even if We had sent down unto them angels, and the dead had spoken unto them, and We had gathered together all things before them, they would not have believed, unless Allah willed, but most of them behave ignorantly.","And though We should send down the angels unto them, and the dead should speak unto them, and We should gather against them all things in array, they would not believe unless Allah so willed. Howbeit, most of them are ignorant.","Even if We had sent down angels to them, and the dead had spoken to them, and We had gathered before them all things manifestly, they would [still] not believe unless Allah wished. But most of them are ignorant.","Even if We sent down the angels to them and the dead spoke to them, and assembled all things in front of them, they would still not believe, unless Allah willed it. But most of them are ignorant.","And even if We had sent down to them the angels [with the message] and the dead spoke to them [of it] and We gathered together every [created] thing in front of them, they would not believe unless Allah should will. But most of them, [of that], are ignorant.","Had We sent the angels to them, made the dead speak to them, and resurrected all things before their very eyes, they still would not believe unless God willed it to be so. But, in fact, most of them ignore (the evidence).","And even if We had sent down to them the angels and the dead had spoken to them and We had brought together all things before them, they would not believe unless Allah pleases, but most of them are ignorant.","Even if We sent down angels to them, and caused the dead to speak to them, and We gathered together everything in front of them, they would still not believe, unless God had so willed. But most of them behave ignorantly.","Even if We did send unto them angels, and the dead did speak unto them, and We gathered together all things before their very eyes, they are not the ones to believe, unless it is in Allah's plan. But most of them ignore (the truth)."
6,112,"That is how We have made for each apostle opponents, the satans among men and jinns, who inspire one another with deceitful talk. But if your Lord had willed they would not have done so. Pay no attention to them and to what they fabricate.","And similarly We have appointed enemies for every Prophet – devils from men and jinns – one inspires the other with fabrications to deceive; and had your Lord willed they would not do so, therefore leave them with their fabrications.","So We have appointed to every Prophet an enemy -- Satans of men and jinn, revealing tawdry speech to each other, all as a delusion; yet, had thy Lord willed, they would never have done it. So leave them to their forging,","And in this wises have we appointed unto every prophet an enemy-- Satans of men and of genii inspiring to each other gilded speech as a delusion. And had thy Lord willed, they could not have done so; wherefore let thou alone if them and that which they fabricate.","And so We have appointed for every Prophet enemies - Shayatin (devils) among mankind and jinns, inspiring one another with adorned speech as a delusion (or by way of deception). If your Lord had so willed, they would not have done it, so leave them alone with their fabrications. (Tafseer Qurtubi, Vol. 7, Page 67)","Likewise, We have assigned for every prophet an enemy—human and jinn devils—inspiring one another with fancy words in order to deceive. But had your Lord willed, they would not have done it. So leave them to their fabrications.","And so it is that against every Prophet We have set up the evil ones from among men and jinn, some of them inspire others with specious speech only by way of. delusion. Had it been your Lord's will, they would not have done it. Leave them alone to fabricate what they will.","And so We have appointed for every Prophet enemies -- Shayatin among mankind and Jinn, inspiring one another with adorned speech as a delusion. If your Lord had so willed, they would not have done it; so leave them alone with their fabrications.","Thus have We appointed unto every prophet an adversary - devils of humankind and jinn who inspire in one another plausible discourse through guile. If thy Lord willed, they would not do so; so leave them alone with their devising;","That is how for every prophet We appointed as enemy the devils from among humans and jinn, who inspire each other with flashy words, deceptively. Had your Lord wished, they would not have done it. So leave them with what they fabricate,","As such We have assigned for every Prophet an enemy; the satans of humans and jinn, revealing varnished speech to each other, all as a delusion. But had your Lord willed, they would not have done so. Therefore leave them and what they invent,","And thus We have made for every prophet an enemy - devils from mankind and jinn, inspiring to one another decorative speech in delusion. But if your Lord had willed, they would not have done it, so leave them and that which they invent.","We have made devilish enemies for every Prophet from among people and jinn. They whisper attractive but and deceitful words to each other. Had your Lord wanted, the devils would not have seduced people. Keep away from them and the falsehood which they invent.","And thus did We make for every prophet an enemy, the Shaitans from among men and jinn, some of them suggesting to others varnished falsehood to deceive (them), and had your Lord pleased they would not have done it, therefore leave them and that which they forge.","In like manner We have assigned for every prophet an opponent, Satans from among men and jinn, who make evil suggestions to each other by means of specious words in order to deceive -- had it been your Lord's will, they would not have done so; so leave them alone to their fabrication,","Likewise did We make for every Messenger an enemy,- evil ones among men and jinns, inspiring each other with flowery discourses by way of deception. If thy Lord had so planned, they would not have done it: so leave them and their inventions alone."
6,113,"Let those who do not believe in the life to come, listen to it and be pleased with it, and let them gain what they may gain.","And in order that the hearts of those who do not believe in the Hereafter may lean towards it and that they may like it, and earn the sins which they are to earn.","and that the hearts of those who believe not in the world to come may incline to it, and that they may be well-pleased with it, and that they may gain what they are gaining.","And it is in order that the; hearts of those who believe not in the Hereafter might incline thereto, and that they might be pleased therewith, and that they might do that whereof they are the doers.","(And this is in order) that the hearts of those who disbelieve in the Hereafter may incline to such (deceit), and that they may remain pleased with it, and that they may commit what they are committing (all kinds of sins and evil deeds, etc.).","So that the hearts of those who do not believe in the Hereafter may incline to it, and be content with it, and that they may perpetrate whatever they perpetrate.","So that the hearts of those who do not believe in the Life to Come might incline towards this attractive delusion, and that they may be well pleased with it and might acquire the evils that they are bent on acquiring.","And Tasgha to it that the hearts of those who do not believe in the Hereafter may incline to such (deceit), and that they may remain pleased with it, and that they may commit what they are committing.","That the hearts of those who believe not in the Hereafter may incline thereto, and that they may take pleasure therein, and that they may earn what they are earning.","so that toward it may incline the hearts of those who do not believe in the Hereafter, and so that they may be pleased with it and commit what they commit.","so that the hearts of those who have no belief in the Everlasting Life are inclined to it and, being pleased, persist in their sinful ways.",And [it is] so the hearts of those who disbelieve in the Hereafter will incline toward it and that they will be satisfied with it and that they will commit that which they are committing.,Let those who do not believe in the Day of Judgment listen to the deceitful words with pleasure and indulge in whatever sins they want.,And that the hearts of those who do not believe in the hereafter may incline to it and that they may be well pleased with it and that they may earn what they are going to earn (of evil).,"in order that the hearts of those who do not believe in the life to come might incline towards those suggestions and, being pleased, persist in their sinful ways.","To such (deceit) let the hearts of those incline, who have no faith in the hereafter: let them delight in it, and let them earn from it what they may."
6,114,"(Say): ""Then should I seek (the source of) law elsewhere than God, when it is He who has revealed this Book to you, which distinctly explains (everything)?"" Those to whom We have given the Book know it has been sent by your Lord in truth. So be not a sceptic.","“So shall I seek the command other than that of Allah, whereas it is He Who has sent down the detailed Book towards you?” And those whom We gave the Book know that this is the truth sent down from your Lord, so O listener, (followers of this Prophet) do not ever be of those who doubt.","What, shall I seek after any judge but God? For it is He who sent down to you the Book well-distinguished; and those whom We have given the Book know it is sent down from thy Lord with the truth; so be not thou of the doubters.","Say thou: shall I then seek as judge other than Allah, when it is He who hath sent down toward you the Book detailed? And those whom We vouchsafed the book know that it hath been revealed by thy Lord in truth; so be thou not of the doubters.","[Say (O Muhammad SAW)] ""Shall I seek a judge other than Allah while it is He Who has sent down unto you the Book (The Quran), explained in detail."" Those unto whom We gave the Scripture [the Taurat (Torah) and the Injeel (Gospel)] know that it is revealed from your Lord in truth. So be not you of those who doubt.","“Shall I seek a judge other than God, when He is the One who revealed to you the Book, explained in detail?” Those to whom We gave the Book know that it is the truth revealed from your Lord. So do not be of those who doubt.","Shall I look upon anyone apart from Allah for judgement when it is He Who has revealed to you the Book in detail? And those whom We gave the Book (before you) know that this (Book) has been revealed in truth by your Lord. Do not, then, be among the doubters.","[Say:] ""Shall I seek a judge other than Allah while it is He Who has sent down unto you the Book, explained in detail."" Those unto whom We gave the Scripture know that it is revealed from your Lord in truth. So be not you of those who doubt.","Shall I seek other than Allah for judge, when He it is Who hath revealed unto you (this) Scripture, fully explained? Those unto whom We gave the Scripture (aforetime) know that it is revealed from thy Lord in truth. So be not thou (O Muhammad) of the waverers.","[Say,] ‘Shall I seek a judge other than Allah, while it is He who has sent down to you the Book, well-elaborated?’ Those whom We have given the Book know that it has been sent down from your Lord with the truth; so do not be one of the skeptics.","Should I seek a judge other than Allah when it is He who has sent down the well distinguished Book for you? Those to whom We have given the Book know that it is the truth sent down from your Lord, so do not be among the doubters.","[Say], ""Then is it other than Allah I should seek as judge while it is He who has revealed to you the Book explained in detail?"" And those to whom We [previously] gave the Scripture know that it is sent down from your Lord in truth, so never be among the doubters.","(Muhammad), say, ""Should I seek any judge other than God? It is He Who has revealed this Book (Quran) to you with all its intricate details."" Those to whom We have given the Bible know that the Quran has been revealed to you from your Lord in all Truth. Thus, you (people) must have no doubts about it.","Shall I then seek a judge other than Allah? And He it is Who has revealed to you the Book (which is) made plain; and those whom We have given the Book know that it is revealed by your Lord with truth, therefore you should not be of the disputers.","Should I seek a judge other than God, when it is He who has revealed the Book, clearly explained. Those to whom We gave the Book earlier know that it is the truth revealed by your Lord. Therefore, have no doubts.","Say: ""Shall I seek for judge other than Allah? - when He it is Who hath sent unto you the Book, explained in detail."" They know full well, to whom We have given the Book, that it hath been sent down from thy Lord in truth. Never be then of those who doubt."
6,115,"Perfected are the laws of your Lord in truth and justice, and there is no changing His laws. He is all-hearing and all-knowing.","And the Word of your Lord is complete in truth and justice; there is none to change His Words; He is the All Hearing, the All Knowing.","Perfect are the words of thy Lord in truthfulness and justice; no man can change His words; He is the All-hearing, the All-knowing.","And perfected is the word of thy Lord in veracity and in justice. And none can change His words. And He is the Hearer, the Knower.","And the Word of your Lord has been fulfilled in truth and in justice. None can change His Words. And He is the All-Hearer, the All-Knower.","The Word of your Lord has been completed, in truth and justice. There is no changing to His words. He is the Hearer, the Knower.","The Word of your Lord is perfect in truthfulness and justice; no one can change His words. He is the All-Hearing, the All-Knowing.","And the Word of your Lord has been fulfilled in truth and in justice. None can change His Words. And He is the All-Hearer, the All-Knower.","Perfected is the Word of thy Lord in truth and justice. There is naught that can change His words. He is the Hearer, the Knower.","The word of your Lord has been fulfilled in truth and justice. Nothing can change His words, and He is the All-hearing, the All-knowing.","Perfected are the words of your Lord in truth and justice, none can change His Words. He is the Hearing, the Knowing.","And the word of your Lord has been fulfilled in truth and in justice. None can alter His words, and He is the Hearing, the Knowing.","(After having revealed the Quran to you) in all truth and justice, your Lord's Word has been completed. No one can change His Words. He is All-hearing and All-knowing.","And the word of your Lord has been accomplished truly and justly; there is none who can change His words, and He is the Hearing, the Knowing.","The Word of your Lord is perfected in truth and justice. None can change His words. He is the All Hearing, the All Knowing.",The word of thy Lord doth find its fulfilment in truth and in justice: None can change His words: for He is the one who heareth and knoweth all.
6,116,"If you follow the majority of people on the earth, they will lead you astray from the path of God, for they follow only conjecture and surmise.","And O listener, (followers of the Prophet) most of the people on earth are such that were you to obey them, they would mislead you from Allah’s way; they follow only assumptions and they only make guesses.","If thou obeyest the most part of those on earth they will lead thee astray from the path of God; they follow only surmise, merely conjecturing.","And if thou obeyedest most of those on the earth, they would lead thee astray from the way of Allah; they follow not but their fancy, and they only conjecture.","And if you obey most of those on earth, they will mislead you far away from Allah's Path. They follow nothing but conjectures, and they do nothing but lie.","If you were to obey most of those on earth, they would divert you from God’s path. They follow nothing but assumptions, and they only conjecture.","(O Muhammad!) If you obey the majority of those who live on earth, they will lead you away from Allah's path. They only follow idle fancies, indulging in conjecture.","And if you obey most of those on the earth, they will mislead you far away from Allah's path. They follow nothing but conjecture, and they do nothing but lie.","If thou obeyedst most of those on earth they would mislead thee far from Allah's way. They follow naught but an opinion, and they do but guess.","If you obey most of those on the earth, they will lead you astray from the way of Allah. They follow nothing but conjectures and they do nothing but surmise.","If you obeyed most of those on earth, they would lead you astray from the Path of Allah. They follow only supposition and they are but conjecturing.","And if you obey most of those upon the earth, they will mislead you from the way of Allah. They follow not except assumption, and they are not but falsifying.",Most of the people in the land will lead you away from God's guidance if you follow them; they only follow their own conjecture and preach falsehood.,"And if you obey most of those in the earth, they will lead you astray from Allah's way; they follow but conjecture and they only lie.","If you obey the majority of those on earth, they will lead you astray from God's way. They follow nothing but conjecture. They are only guessing.","Wert thou to follow the common run of those on earth, they will lead thee away from the way of Allah. They follow nothing but conjecture: they do nothing but lie."
6,117,"Your Lord surely knows those who have strayed from his path, and knows those who are rightly guided.",Your Lord well knows who has strayed from His way; and He well knows the people on guidance.,Thy Lord knows very well who goes astray from His path; He knows very well the right-guided.,Verily thy Lord; He knoweth best whosoever strayeth from His path and He knoweth best the guided ones.,"Verily, your Lord! It is He Who knows best who strays from His Way, and He knows best the rightly guided ones.","Your Lord knows best who strays from His path, and He knows best the guided ones.","And your - Lord knows well who stray from His path, and also those who are rightly-guided.","Verily, your Lord! It is He Who knows best who strays from His way, and He knows best the rightly guided.","Lo! thy Lord, He knoweth best who erreth from His way; and He knoweth best (who are) the rightly guided.",Indeed your Lord knows best those who stray from His way; and He knows best those who are guided.,Your Lord knows best who stray from His Path and the guided.,"Indeed, your Lord is most knowing of who strays from His way, and He is most knowing of the [rightly] guided.",Your Lord knows best those who have gone astray from His path and those who are rightly guided.,"Surely your Lord-- He best knows who goes astray from His way, and He best knows those who follow the right course.",Your Lord knows best who has strayed from His Way and He knows best those who are guided.,Thy Lord knoweth best who strayeth from His way: He knoweth best who they are that receive His guidance.
6,118,"Eat only that over which the name of God has been pronounced, if you truly believe in His commands.","So eat from that over which Allah’s name has been mentioned, if you believe in His signs.","Eat of that over which God's Name has been mentioned, if you believe in His signs.","Wherefore eat of that whereon the name of Allah hath been pronounced, if ye are believers in His revelations.","So eat of that (meat) on which Allah's Name has been pronounced (while slaughtering the animal), if you are believers in His Ayat (proofs, evidences, verses, lessons, signs, revelations, etc.).","So eat of that over which the Name of God was pronounced, if you indeed believe in His revelations.","If you believe in the signs of Allah, eat (the flesh) of that over which Allah's name has been pronounced.","So eat of that on which Allah's Name has been mentioned, if you are believers in His Ayat.","Eat of that over which the name of Allah hath been mentioned, if ye are believers in His revelations.","Eat from that over which Allah’s Name has been mentioned, if you are believers in His signs.","Eat then of that over which the Name of Allah has been mentioned (when slaughtered), if you truly believe in His verses.","So eat of that [meat] upon which the name of Allah has been mentioned, if you are believers in His verses.","If you have faith in God's revelations, eat the flesh of the animal which has been slaughtered with a mention of His Name.",Therefore eat of that on which Allah's name has been mentioned if you are believers in His communications.,"Eat then, only that over which God's name has been pronounced, if you truly believe in His revelations.","So eat of (meats) on which Allah's name hath been pronounced, if ye have faith in His signs."
6,119,"And why should you not eat of that over which the name of God has been pronounced, when He has made it distinctly clear what is forbidden, unless you are constrained to do so. Surely many (men) mislead others into following their vain desires through lack of knowledge. Your Lord certainly knows the transgressors.","And what is the matter with you that you should not eat from that over which Allah’s name has been mentioned whereas He has explained in detail to you all what is forbidden to you except when you are forced (by circumstances) towards it? And indeed many lead astray by their own desires, out of ignorance; indeed your Lord well knows the transgressors.","How is it with you, that you do not eat of that over which God's Name has been mentioned, seeing that He has distinguished for you that He has forbidden you, unless you are constrained to it? But surely, many lead astray by their caprices, without any knowledge; thy Lord knows very well the transgressors.","And what aileth you that ye should not eat that whereon the name of Allah hath been pronounced while He hath surely detailed unto you that which He hath forbidden you, unless ye are driven thereto? Verily many lead others astray by their desires without knowledge. Verily thy Lord! He knoweth best the transgressors.","And why should you not eat of that (meat) on which Allah's Name has been pronounced (at the time of slaughtering the animal), while He has explained to you in detail what is forbidden to you, except under compulsion of necessity? And surely many do lead (mankind) astray by their own desires through lack of knowledge. Certainly your Lord knows best the transgressors.","And why should you not eat of that over which the Name of God is pronounced, when He has detailed for you what is prohibited for you, unless you are compelled by necessity? Many lead astray with their opinions, through lack of knowledge. Your Lord knows best the transgressors.","And how is it that you do not eat of that over which Allah's name has been pronounced even though He has clearly spelled out to you what He has forbidden you unless you are constrained to it? Many indeed say misleading things without knowledge, driven merely by their lowly desires. But your Lord knows well the transgressors.","And why should you not eat of that on which Allah's Name has been mentioned, while He has explained to you in detail what is forbidden to you, except under compulsion of necessity And surely, many do lead astray by their own desires through lack of knowledge. Certainly your Lord knows best the transgressors.","How should ye not eat of that over which the name of Allah hath been mentioned, when He hath explained unto you that which is forbidden unto you unless ye are compelled thereto. But lo! many are led astray by their own lusts through ignorance. Lo! thy Lord, He is Best Aware of the transgressors.","Why should you not eat that over which Allah’s Name has been mentioned, while He has already elaborated for you whatever He has forbidden you, excepting what you may be compelled to [eat in an emergency]? Indeed many mislead [others] by their fancies, without any knowledge. Indeed your Lord knows best the transgressors.","And why should you not eat of that over which the Name of Allah has been pronounced when He has already made plain to you what is forbidden, except when you are constrained? Many are those who mislead through ignorance on account of their fancies, but your Lord best knows the transgressors.","And why should you not eat of that upon which the name of Allah has been mentioned while He has explained in detail to you what He has forbidden you, excepting that to which you are compelled. And indeed do many lead [others] astray through their [own] inclinations without knowledge. Indeed, your Lord - He is most knowing of the transgressors.","Why should you not eat such flesh when God has told you in detail what is unlawful to eat under normal conditions. Most people, out of ignorance, are led astray by their desires. Your Lord knows best those who transgress.","And what reason have you that you should not eat of that on which Allah's name has been mentioned, and He has already made plain to you what He has forbidden to you-- excepting what you are compelled to; and most surely many would lead (people) astray by their low desires out of ignorance; surely your Lord-- He best knows those who exceed the limits.","Why should you not eat what has been consecrated in God's name, when He has already explained to you what He has forbidden you, unless you are compelled by necessity? Surely, many mislead others by their desires through lack of knowledge. But your Lord best knows the transgressors.","Why should ye not eat of (meats) on which Allah's name hath been pronounced, when He hath explained to you in detail what is forbidden to you - except under compulsion of necessity? But many do mislead (men) by their appetites unchecked by knowledge. Thy Lord knoweth best those who transgress."
6,120,Discard both the visible and invisible sin. For those who sin will be punished for what they have done.,And give up the open and hidden sins; those who earn sins will soon receive the punishment of their earnings.,"Forsake the outward sin, and the inward surely the earners of sin shall be recompensed for what they have earned.","And leave the outside of sin and the inside thereof; verily those who earn sin, anon will they be requited for that which they were wont to do.","Leave (O mankind, all kinds of) sin, open and secret. Verily, those who commit sin will get due recompense for that which they used to commit.","So abandon sin, outward and inward. Those who commit sins will be repaid for what they used to perpetrate.","Abstain from sin, be it either open or secret. Indeed those who commit sins shall surely be requited for all they have done.","Leave sin, open and secret. Verily, those who commit sin will get due recompense for that which they used to commit.) Mujahid said that,",Forsake the outwardness of sin and the inwardness thereof. Lo! those who garner sin will be awarded that which they have earned.,Renounce outward sins and the inward ones. Indeed those who commit sins shall be requited for what they used to commit.,Forsake the revealed and hidden sin. Those who earn sin shall be recompensed for what they have committed.,"And leave what is apparent of sin and what is concealed thereof. Indeed, those who earn [blame for] sin will be recompensed for that which they used to commit.",Stay away from both public and secret sins for a sinner will suffer for whatever he has committed.,And abandon open and secret sin; surely they who earn sin shall be recompensed with what they earned.,"Eschew all sin, open or secret: Those who commit sin will receive due punishment for their sins,","Eschew all sin, open or secret: those who earn sin will get due recompense for their ""earnings."""
6,121,"Do not eat of that over which God's name has not been pronounced, for that would amount to exceeding the limits of law. Certainly the devils inspire their proteges to dispute with you: If you obey them, you will surely become an idolater.","And do not eat that on which Allah’s name has not been mentioned, and indeed that is disobedience; and undoubtedly the devils inspire in the hearts of their friends to fight with you; and if you obey them, you are then polytheists.","And eat not of that over which God's Name has not been mentioned; it is ungodliness. The Satans inspire their friends to dispute with you; if you obey them, you are idolaters.","And eat not of that whereon the name of Allah hath not been pronounced; for verily that is a departure. Verily the Satans are ever inspiring their friends that they may wrangle with you; and were ye to obey them, verily ye shall become associaters indeed.","Eat not (O believers) of that (meat) on which Allah's Name has not been pronounced (at the time of the slaughtering of the animal), for sure it is Fisq (a sin and disobedience of Allah). And certainly, the Shayatin (devils) do inspire their friends (from mankind) to dispute with you, and if you obey them [by making Al-Maytatah (a dead animal) legal by eating it], then you would indeed be Mushrikun (polytheists) [because they (devils and their friends) made lawful to you to eat that which Allah has made unlawful to eat and you obeyed them by considering it lawful to eat, and by doing so you worshipped them, and to worship others besides Allah is polytheism].","And do not eat from that over which the Name of God was not pronounced, for it is abomination. The devils inspire their followers to argue with you; but if you obey them, you would be polytheists.","Do not eat of (the animal) over which the name of Allah has not been pronounced (at the time of its slaughtering), for that is a transgression. And behold, the evil ones do inspire doubts and objections into the hearts of their friends so that they dispute with you; but if you obey them, you will surely yourselves turn into those who associate others with Allah in His divinity.","Eat not of that on which Allah's Name has not been pronounced, for surely it is disobedience. And certainly, the Shayatin do inspire their friends to dispute with you, and if you obey them, then you would indeed be polytheists.","And eat not of that whereon Allah's name hath not been mentioned, for lo! it is abomination. Lo! the devils do inspire their minions to dispute with you. But if ye obey them, ye will be in truth idolaters.","Do not eat [anything] of that over which Allah’s Name has not been mentioned, and that is indeed transgression. Indeed the satans inspire their friends to dispute with you; and if you obey them, you will indeed be polytheists.","Do not eat from that which the Name of Allah has not been mentioned, for it is a sin. The satans will reveal to their guided ones to argue with you. If you obey them, you shall indeed become idolaters.","And do not eat of that upon which the name of Allah has not been mentioned, for indeed, it is grave disobedience. And indeed do the devils inspire their allies [among men] to dispute with you. And if you were to obey them, indeed, you would be associators [of others with Him].","Do not eat the flesh of an animal which has been slaughtered without a mention of the Name of God; it is a sinful deed. Satan teaches his friends to argue with you. If you obey them, you will certainly be idol worshippers.","And do not eat of that on which Allah's name has not been mentioned, and that is most surely a transgression; and most surely the Shaitans suggest to their friends that they should contend with you; and if you obey them, you shall most surely be polytheists.","and do not eat anything over which God's name has not been pronounced, for that surely is disobedience. The devils inspire their followers to argue with you. If you obey them, you will become of those who associate partners with God.","Eat not of (meats) on which Allah's name hath not been pronounced: That would be impiety. But the evil ones ever inspire their friends to contend with you if ye were to obey them, ye would indeed be Pagans."
